"
בלובירד
",ג’נבייב גרהאם,98.00 ₪,88.20 ₪,"
44.90 ₪
","<span class=""price"">0.00 ₪</span>","<span class=""price"">44.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
יום אחד הוא פשוט מופיע במקום העבודה שלה. גבר יפה, מלוכלך ומאובק, מחזיק חבילה בידו. קייסי פותחת את הצרור כמעט בחוסר עניין, ונדהמת. כאוצרת במוזיאון, היא בקושי מצליחה להסתיר את התרגשותה. הגבר היפה הביא איתו אוצר: בקבוק ויסקי עתיק ונדיר, שמצא טמון בקיר הבית שהוא משפץ. 

1918.
המלחמה הגדולה עדיין מתחוללת. אדל סוואר, אחות צעירה בבית חולים שדה בבלגיה, מטפלת בעדינות אין קץ בג’רי, החולה המיוחד שלה. משהו בו מרגש אותה. האם זאת העובדה שגילתה שאי אז, בקנדה הרחוקה, הם היו כמעט שכנים? לחרדתה, ג’רי הולך ונרפא ובעוד רגע ישוב לחזית. ואז? מה יהיה אז?

שנים יחלפו עד שהקצוות הפרומים ישובו ויתחברו, עד שג’רי ואדל ייפגשו שוב, באקראי, והפעם הוא יהיה זה שיציל אותה. תקופה ארוכה תחלוף גם עד שקייסי והגבר עם בקבוק הוויסקי יגלו מה קרה בבית ההוא, לפני מאה שנים, וכיצד הם קשורים לסיפור האהבה של האחות והפצוע שטיפלה בו.
”בלובירד” הוא ספר שכולו סודות, חלקם עתיקים, חבויים עשרות שנים בתוך קירות בית נטוש, וחלקם אינם מדוברים, גם בין אוהבים. על כולם מרחפים מוראות המלחמה, לצד הרצון הטבעי, הפשוט כל כך, לשוב ולחיות. 

בלובירד הוא ספרה העשירי של ג’נבייב גרהאם, שהיה לרב מכר בינלאומי מיד עם צאתו לאור.
"
"
בעלות האוב
",סטייסי הולז,0.00 ₪,98.00 ₪,Not Available,0.00 ₪,49.00 ₪,Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
לנקסטר, אנגליה, 1612. ציד המכשפות בשיאו.
אבל בעידן של חשדנות והאשמות, להיות אישה זהו אולי הסיכון הגדול ביותר.
פליטווּד שאטֶלווֹרת’, בת שבע־עשרה, היא אדונית אחוזה שהרה זו הפעם הרביעית. אלא שהיא טרם ילדה תינוק חי, ובעלה ריצ’רד משתוקק ליורש. כאשר היא מוצאת מכתב שלא נועד לעיניה, נודע לה למרבה האימה, שלדברי הרופא לא תשרוד היריון נוסף.
כשדרכה מצטלבת במקרה בדרכה של אליס גרי, מיילדת צעירה, זו מבטיחה לעזור לה ללדת תינוק בריא ולהעמיד את הרופא על טעותו.
בעוד אליס מסתבכת בהאשמות בכישוף ששוטפות את צפון־מערב המדינה, פליטווד מסכנת הכול בניסיון לעזור לה. אבל האם אליס מסתירה משהו?
עד מהרה חיי השתיים נקשרים ללא הפרד, המשפט המפורסם בלנקסטר הולך ומתקרב, ובטנה של פליטווד ממשיכה לגדול.
הזמן אוזל, וחיי השתיים בסכנה.
רק הן יודעות את האמת. רק הן יוכלו להציל זו את זו.
סטייסי הולז נולדה בלנקשייר ועסקה בעיתונות. בעלות האוב היה מועמד לפרס ספר הביכורים הבריטי של השנה.
”יצירת מופת עשירה ומלאת אווירה המתבוננת בתקופה היסטורית טעונה מתחים דתיים, אמונות תפלות, שנאת נשים ופחד... כשגברים חזקים מתיימרים בימינו להיות הקורבנות של ציד מכשפות, ראוי להבין איך זה היה באמת.” הניו יורק טיימס
”ספר עשיר בתככים ובמגבלות שנאכפו על נשות המאה ה־17, אצילות ופשוטות גם יחד... מבט אל העולם האמיתי שבו התנהגות לא מקובלת הייתה עשויה להביא אישה אל עמוד התלייה.” בוקליסט
"
"
אהבה אחת
",שרה מסה,89.00 ₪,71.20 ₪,"
66.75 ₪
","<span class=""price"">39.00 ₪</span>","<span class=""price"">31.20 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
הספר הטוב ביותר בספרד, 2020 אל פאיס, לה וונגוורדיה, אל קולטורל ואל קוררו כתיבה שלווה ותוססת בו זמנית פרנסיסקו סולאנו, אל פאיס. רומן תובעני ומדויק קרלוס פארדו, בבליה, אל פאיס בעקבות משבר אישי עוברת נטליה, מתרגמת בתחילת דרכה, להתגורר בלה אסקפה, כפר נידח בערבות ספרד. אט־אט היא רוקמת קשרים עם קומץ מחברי הקהילה, אולם במהרה מתברר ששפת המקום והלכותיו נותרים זרים לה והיא מתקשה לפענח את מניעיהם. אי־הבנה הדדית וניכור רוחשים מתחת לפני השטח. כשמתגלע סכסוך עם בעל הבית בשל תיקונים הנדרשים בביתה, מגיעה לפתחה הצעה מרחיקת לכת שתאלץ אותה לקבל החלטה שתטלטל את עולמה. בשפה חדה ותמציתית, שרה מסה טווה בעדינות אווירה עוכרת שלווה ותחושה של אסון מתקרב. מסה, מהקולות המוערכים והמדוברים בספרד כיום, בוחנת בכתיבתה רעיונות של שפה, ניכור וקהילה דרך עיניה של אישה, שדווקא כשהיא ניצבת על סף תהום, מצליחה ללמוד משהו חדש על עצמה ועל מקומה בעולם. שרה מסה (1976) – נולדה וגדלה בסביליה וכיום מתגוררת במדריד, ספרד. סופרת, משוררת ומחזאית, יוצרת מן המוערכות והבולטות בספרות הספרדית העכשווית. ב-2007 פרסמה ספר שירה שזיכה אותה בפרס הלאומי לשירה. ספר הפרוזה הראשון שלה ראה אור ב-2008 ומאז פרסמה עוד שמונה ספרים שזיכו אותה בשבחים ובפרסים רבים ותורגמו למגוון שפות. אהבה אחת (2020) הוא ספרה הראשון המתורגם לעברית. משה רון – מתרגם מאנגלית, צרפתית וספרדית. תרגם בין השאר מכִּתבי ריימונד קרבר, פול אוסטר, מייקל שייבון, מתיאס אנאר, רוברטו בולניו, גוסטב פלובר. שימש עורך בעם עובד, הקיבוץ המאוחד, סימן קריאה. פרופסור אמריטוס בספרות אנגלית ובספרות השוואתית באוניברסיטה העברית.
"
"
הנשים של קילקריון
",ג’וג’ו מויס,98.00 ₪,78.40 ₪,"
73.50 ₪
","<span class=""price"">48.00 ₪</span>","<span class=""price"">38.40 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
בספר המשך מעורר השראה לממואר רב-המכר ”הסיפור שלי”, הגברת הראשונה לשעבר מישל אובמה חולקת איתנו חוכמה מעשית ודרכים לשמירה על תקווה ועל איזון בעולם חסר הוודאות של ימינו

. היא גם בוחנת את השאלות שרבים מאיתנו מתחבטים בהן: 

איך לבנות מערכות יחסים כנות שיאריכו ימים?

איך לשאוב כוח ולמצוא תחושה של קהילה גם כשיש בינינו חילוקי דעות? 

באילו כלים אפשר לפעול כדי להיטיב להתמודד עם תחושות של פקפוק עצמי או חוסר אוניים?
"
"
הלבבות האבודים שלנו
",סלסט אינג,98.00 ₪,78.40 ₪,"
73.50 ₪
","<span class=""price"">48.00 ₪</span>","<span class=""price"">38.40 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
סלסט אינג חוזרת עם רב־מכר חדש 
ילד ושמו בירד חי עם אביו, בלשן שעובד כספרן בספרייה של אוניברסיטת הרווארד. אמא שלו, מרגרט, משוררת סינית-אמריקאית, נעלמה במפתיע כשהיה בן תשע. יום אחד, כשהוא כבר בן שתים-עשרה, הוא מקבל ממנה גלויה מצוירת, שהוא אמנם מתקשה לפרש את משמעותה, אך יש בה רמז אחד שהוא מבין, ובעקבותיו הוא מחליט לצאת לחפש אחריה. 

כל זה קורה בזמן שבארצות הברית נכנס לתוקף חוק חדש (בדיוני), החוק לשימור ערכי התרבות והמסורת האמריקאיים. משמעותו שכל אזרח צריך להפגין פטריוטיות, ולהלשין על מי שלדעתו אינו כזה. לרשויות הממשלתיות יש סמכות להכריז כאוות נפשן על בוגדים. כתוצאה מכך נרדפים בני המיעוטים, כאשר הסובלים מהגזענות הרבה ביותר הם האמריקאים ממוצא אסיאתי. החוק אף מתיר לרשויות להפריד בין הורים לילדים, אם יש חשש שהחינוך של ההורים לא פטריוטי דיו. בתוך אווירת הפחד, ובניגוד לציות השקט של אביו, בירד מחליט לעשות מעשה,
ויוצא למסע נועז ורב תהפוכות שבו יגלה מה עלה בגורל אמו. 

”הלבבות האבודים שלנו” הוא רומן שמצליח לצמרר ולנחם בו זמנית. הוא מספר לנו על כוחה של אהבה בכלל ואהבת אם בפרט, ועל החשיבות של מילים ושל יצירה, של שירים, אגדות וסיפורים – היכולים לשמש מפלט, לתת קול ולהאיר את החשיכה. סיפורם של בירד ומרגרט אמו הוא סיפור משפחתי ואישי, שבד בבד מספר סיפור על חברה שלמה. עלילת הספר בדיונית אמנם, אך היא איננה רחוקה כל כך מהמציאות. 

סלסט אינג היא כוכבת עולה בשמי הספרות העולמית, וספריה ”כל מה שלא סיפרתי” (הוצאת תמיר-סנדיק) ו”שריפות קטנות בכל מקום” (הוצאת אחוזת בית), שאף עובד לסדרת טלוויזיה, היו רבי־מכר ותורגמו לשפות רבות. אינג היא מספרת טבעית, שמעמידה גיבורים מעוררי הזדהות, ומאפשרת לילדים להשמיע בקול מושך ומשכנע את מחשבותיהם התמימות, שנעשות מתוחכמות יותר ויותר.
"
"
כל המילים היפות 1 סיכוי אחרון 1
",אילת סווטיצקי,98.00 ₪,49.00 ₪,Not Available,37.00 ₪,29.60 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי 
","
דסטין בראון הוא הבחור המעצבן ביותר שפגשתי בחיי. הוא עשיר, שחצן ולוהט יותר משהייתי רוצה שיהיה, ואני לא יכולה להתחמק ממנו כשאנחנו תקועים יחד במרכז גמילה יוקרתי לחופו של האוקיינוס השקט.
לא אכפת לו שאני כאן כדי לנוח, להתחזק ולחזור לחיים המטורפים שמחכים לי בחוץ. לא אכפת לו מאף אחד מלבד עצמו. הוא, בניגוד אליי, כאן כדי לבזבז את הזמן ולהוציא אותי מדעתי.
הוא רודף אחריי, מקניט, מתנהג בגסות ומנסה לשבור אותי בכל דרך אפשרית, אבל אסור לי לתת לו לנצח.
אסור לי להראות סימני חולשה. גם לא כשאני מגלה שמתחת לתדמית הפלייבוי שאימץ לעצמו, מתחבאת נפש רדופת שדים.
אני צריכה להישאר ממוקדת ולהציל את עצמי, אבל מה יקרה כשיתעורר בי הצורך להציל גם אותו?

כל המילים היפות הוא הספר הראשון בסדרה סיכוי אחרון ויכול להיקרא כספר יחיד. 

אילת סווטיצקי היא סופרת רבי מכר רומנטיים, בהם סדרת תחרה וצבע, סדרת לילות לואיזיאנה, גנבת החלומות ועוד. היא מתגוררת למרגלות הכרמל עם בעלה, שלושת ילדיהם ושלושה חתולים שובבים. כל המילים היפות הוא ספרה העשרים ואחד.
"
"
ברידג’רטון 4 לחזר אחר מר ברידג’רטון
",ג’וליה קווין,98.00 ₪,59.90 ₪,Not Available,46.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי 
","
”פשוט נפלא, מלא קסם, הומור ושנינות.”
Kirkus Reviews 
***
המשך עלילותיה של המשפחה אשר הפכה לתופעה עולמית!
***
סיפורם של קולין ופנלופי

פנלופי פת׳רינגטון העריצה בחשאי את אחיה של חברתה הטובה ביותר במשך... ובכן, נדמה שלנצח. אחרי שבמשך מחצית מחייה צפתה בקולין ברידג׳רטון מרחוק, נדמה לה שהיא יודעת עליו כל מה שיש לדעת, עד שהיא במקרה חושפת את סודו הכמוס ביותר... וחוששת שאינה מכירה אותו כלל.

קולין ברידג׳רטון עייף מלהיחשב פוחז מקסים וקל דעת, עייף מבעלת הטור הרכלנית והנודעת לשמצה ליידי וויסלדאון, שכמו אינה מסוגלת לפרסם מהדורה מבלי להזכיר את שמו. אבל כאשר קולין שב ללונדון ממסע בחו״ל, הוא מגלה שחייו אינם שבים למסלולם – בעיקר כאשר מדובר בפנלופי פת׳רינגטון! הבחורה שהייתה תמיד שם מתחילה לפתע לרדוף אותו בחלומותיו. כאשר הוא מגלה שלפנלופי חלומות משלה, הרווק החמקמק חייב להחליט... האם היא מהווה איום גדול על חייו – או שמא הבטחה לסוף מאושר?

ג׳וליה קווין, שספריה נמצאים ברשימת רבי המכר של הניו יורק טיימס, שמחה להפריך את המיתוס שנשים חכמות לא קוראות (או כותבות) רומנים רומנטיים, ומי שצופה בשידורים חוזרים של התוכנית החוליה החלשה יוכל לראותה זוכה ב - 79,000 דולרים. היא גילתה חוסר ידע מוחלט בבייסבול, מוזיקת קאנטרי וצעצועים, אבל היא גאה לומר שהצטיינה בכול נושא הקשור בבריטניה ובספרות, ענתה נכון על כל השאלות בנושאי היסטוריה וגיאוגרפיה, וידעה על קיומו של דה וינצ׳י זמן רב לפני שהופיע ״צופן דה וינצ׳י.״

גברת קווין, בוגרת הרווארד ורדקליף, היא אחת משש עשרה כותבות הרומנים הרומנטיים היחידות בארצות הברית שהוכנסו להיכל התהילה האמריקאי. הספרים שלה תורגמו ל-32 שפות, והיא מתגוררת עם משפחתה בצפון מערב ארצות הברית.
"
"
פאנק 57
",פנלופה דאגלס,98.00 ₪,59.90 ₪,Not Available,44.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי 
","
סופרת רבי המכר של ה- ניו יורק טיים פנלופה דאגלס, ברומן ממכר שנוגע בקצוות.


”היינו הזוג המושלם. עד שנפגשנו.”

מישה

אני לא יכול לכבוש את החיוך כשאני קורא את המכתב שלה. היא מתגעגעת אליי.
כשהייתי בכיתה ה’, המורה שלי החליטה על פרוייקט משותף עם בית ספר אחר – חברים לעט. 
המורה בכיתה השנייה, שחשבה שמישה הוא שם של בת, ציוותה אותי לתלמידה שלה, ריאן. המורה שלי, שחשבה שריאן היא בן, הסכימה. 

מהר מאוד הבנו את הטעות. ובתוך זמן קצר, כבר התווכחנו על הכול. איזו פיצה הכי טעימה. אנדרואיד או אייפון. האם אמינם הוא הראפר הכי טוב אי פעם...

וזאת הייתה רק ההתחלה. במשך שבע השנים הבאות, היינו רק שנינו. 

היא תמיד כותבת לי על נייר שחור, בדיו כסופה. לפעמים אני מקבל מכתב בשבוע, לפעמים שלושה ביום אחד, אבל אני זקוק להם. היא היחידה שעוזרת לי לא לאבד את הכיוון, שמרגיעה אותי, שמקבלת אותי כפי שאני. 

היו לנו רק שלושה כללים. בלי רשתות חברתיות, בלי מספרי טלפון, בלי תמונות. היה לנו משהו טוב. למה להרוס אותו?

עד שאני רואה במקרה ברשת תמונה של בחורה. קוראים לה ריאן, היא אוהבת את הפיצה של גאלו ומעריצה את האייפון שלה. מה הסיכוי? 

על הזין שלי. אני חייב לפגוש אותה.


אלא שלא ציפיתי לשנוא את מה שאמצא. 




ריאן

הוא לא כתב לי כבר שלושה חודשים. משהו קרה. האם הוא מת? נעצר? מהיכרותי עם מישה, אני יודעת ששתי האפשרויות הגיוניות. 

אני משתגעת בלעדיו. אני צריכה לדעת שמישהו מקשיב לי. זאת אשמתי. הייתי צריכה לבקש ממנו מספר טלפון או תמונה או משהו. 

יכול להיות שהוא נעלם לתמיד. 

או שהוא ממש מתחת לאף שלי, ואין לי מושג.
"
"
התמכרות 2 התנגשות 2
",דנה לוי אלגרוד,98.00 ₪,59.90 ₪,Not Available,37.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי 
","
אי-אפשר להבין איך ביום בהיר אחד אנחנו פוגשים אדם שמשנה את כל נתיב החיים שלנו. אי-אפשר להבין למה דווקא האדם המסוים הזה גורם לגוף שלנו להתמכר אליו בתשוקה בלתי מוסברת, וללב שלנו לפרפר בחוסר אונים בתוך החזה שלנו.
לכל אדם יש חלום. החלום שלי, בתור פסנתרנית מחוננת, היה ללמוד באקדמיה למוזיקה בבוסטון. אבל לא זכיתי להגשים אותו. הכול נקטע לפני חמש שנים כאשר התבשרתי שחליתי. 
הצלחתי להתגבר על המחלה, פעמיים, אבל הפכתי לשקופה. לבלתי נראית. פרשתי ממרוץ החיים וגזרתי על עצמי המתנה ארוכה ומייגעת ליום שבו הכול יסתיים. לסוף.
למרות זאת ציפה לי אור קטן בקצה המנהרה. חתונה. עמדתי להינשא לידיד המשפחה, גבר נאה, מוכשר ומצליח, שבחר לבלות אתי את חייו. 
הנתיב הברור שלי השתבש באותה הטיסה הגורלית שבה פגשתי את הגרמני המשוגע. 
פתאום לא הרגשתי שקופה. ראיתי את עצמי בשלל גוונים עזים. הרגשתי שהחיים חזקים ממני ושאני רוצה להפסיק להמתין ולהתחיל לחיות. נשאבתי לתוך העולם היצרי שלו ונצרתי כל שנייה שבה הייתי חלק מהחיים המסעירים שלו.
התמכרתי לעוצמות שלו, התמכרתי לתשוקה שלו והתמכרתי לצורך של הלב שלי להרגיש. אבל ידעתי שזה זמני, שאני חייבת לחזור לנתיב שלי. 
לא הבאתי בחשבון דבר אחד. ההתמכרות חזקה מהכול.
”התמכרות”, רומן מטלטל וחושני והצמד של הספר ”התנגשות”, הוא ספרה השביעי של דנה לוי אלגרוד. ספריה הקודמים זכו להצלחה מסחררת בארץ ובחו”ל
"
"
התנגשות 1
",דנה לוי אלגרוד,98.00 ₪,59.90 ₪,Not Available,37.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי 
","
העולם שלו אפל ומסוכן, העולם שלי ריאלי והישגי. האם ההתנגשות בין העולמות תהיה הרסנית או תיצור פיצוץ של אהבה? 

מאז שאני זוכרת את עצמי העתיד שלי היה לי ברור. הייתי אמורה לסיים את התואר בפיזיקה בהצטיינות יתרה, להמשיך בקריירת מחקר והוראה באקדמיה ולהגיע לפרופסורה. אבל דבר אחד לא יכולתי לצפות, את שיחת הטלפון הגורלית שטלטלה את עולמי. התבשרתי כי עליי להשיג בעצמי את סכום הכסף שיאפשר לי להגשים את החלום שלי. 

התחלתי לעבוד בבר שבבעלות ארגון פשע. נחשפתי שם לעולם אפל שלא הכרתי – סמים, חשפנות, זנות וסחר בנשק. שם גם הכרתי את הבוס החדש שלי, גבר שסימל את כל מה שאני סולדת ממנו ומנגד שאב אותי אליו בסחרור של תשוקה. 

ההתנגשות בין החיים האקדמיים השלווים לבין חיי הפשע הבלתי צפויים לא איחרה לבוא, והיא הייתה עוצמתית ומסוכנת במיוחד. אין ארגון פשע ברחבי בוסטון שלא נקרה בדרכי. 

הם רק לא הביאו בחשבון דבר אחד קטן, שלא כדאי להם להתעסק עם אלנה. זו אני. 

”התנגשות”, ספרה השישי של דנה לוי אלגרוד, הוא רומן פשע מותח וחושני. סדרת ”התשוקות” שכתבה זוכה להצלחה רבה בארץ ובחו”ל ומדורגת ברשימות רבי-המכר באמזון. ”סחרור גורלי”, ספרה החמישי, דורג גם הוא ברשימות רבי-המכר.
"
"
נדרים מנופצים 1 אימפריה מוכתמת 1
",שיין רוז,98.00 ₪,59.90 ₪,Not Available,37.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי/ פשע-מאפיה 
","
הסכמתי לנישואים שיימשכו שישה חודשים בלבד כדי להציל את העיר שלי.
זה אמור להיות קל, חוץ מהעובדה שסבסטיאן ארמנלי הופך ברגע אחד מסטוץ חד־פעמי ולוהט – לבעלי.
הוא האיש הכי חזק בעיר.
והוא גם ראש המאפיה האיטלקית. כך גיליתי הרגע.
בעלי החדש מבטיח להיות ג’נטלמן ביום ולמלא את תפקידו, אבל בחשכת הלילה הוא שתלטן. 
חסר רחמים.
רכושני.
הוא מסרב לחלוק את מה שהוא רואה כשלו.
ואני מבינה שזה כולל אותי – 
אשתו הנשואה כדין.

נדרים מנופצים הוא רומן מאפיה סוחף על נישואים מאורגנים, בוס מאפיה זועף, נערת גלישה עם רוח חופשית, וניצוצות שלא מפסיקים לעוף. זהו הספר הראשון בסדרת אימפריה מוכתמת וניתן לקרוא אותו גם כספר יחיד.
"
"
להיכנע 1 סיפורי סטונוויו 1
",לולה קינג,98.00 ₪,59.90 ₪,Not Available,37.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 אירוטי/אופל 
","
ג’ייק ווייט הוא המלך שלנו.
מלך עם כתר קוצים, לב של אבן ורוע אמיתי בנשמתו. הוא מסתיר זאת היטב מתחת לחיוך יפהפה ומבט שכובש את הלב. אבל הילה אפלה תמיד אופפת את הנער המושלם של בית הספר הפרטי בסטונוויו. נדמה שהוא מסתיר סוד שמור היטב. זאת מין הילה שאיש לא רואה.

”הסקרנות הרגה את החתול, ג’יימי.” אימא שלי תמיד אומרת, אבל היא מעולם לא סיפרה לי שהסקרנות הזאת תגרום לי לצרות גדולות כל כך, שלא אוכל להתמודד איתן. היא מעולם לא סיפרה לי שהיא תוביל אותי לתוך עולמו האפל של ג’ייק ווייט. 
כשאני מגלה, לא לגמרי בטעות, חלק מעברו של ג’ייק, מתגלות לי השלכותיה של הסקרנות החולנית שלי. העניין הוא, שהסקרנות שלי לא הורגת אותי, אלא הופכת אותי לעכבר, לצעצוע שאפשר לשחק בו. לפחות, זה הגורל שג’ייק קבע עבורי.

ג’ייק
שלוש שנים. 
זה משך הזמן שהתאומה שלי ואני זכינו לו לפני שהעבר שלנו חזר לרדוף אותנו.
היה לנו טוב, התנהגנו יפה, לא עשינו צרות, ובעיקר, שלטתי בעצמי לחלוטין.
אבל איכשהו הצרות תמיד רודפות אותנו, והפעם, כשזה קורה, ג’יימי וויליאמס צופה בכל העניין. הבחורה החטטנית הזאת עוקבת אחריי ומצותתת לשיחות שלי...
היא נואשת לגלות מה אני מסתיר מאחורי דמות נער הזהב שלי.
אין בעיה. יש לי את כל הזמן שבעולם, אפלה בראש ומאה דרכים לגרום לג’יימי וויליאמס להיכנע לרצוני.

אזהרה: ספר זה מכיל תכנים על בריונות, תוכן מיני ועלול לעורר חוסר נוחות אצל קוראים מסוימים.
"
"
השרביט והחרב 19 ניקסה שגרירת המות
",אדם בליד,0.00 ₪,82.00 ₪,Not Available,0.00 ₪,39.00 ₪,Not Available,"
 תחום: 
 ראשית קריאה 
","
 תת תחום: 
 ראשית קריאה 
","
הַמַּסָּע לְשִׁחְרוּר טָלָדוֹן מַתְחִיל...
טָלָדוֹן, אָבִיו שֶׁל תוֹם, חָזַר! אֲבָל הַשִּׂמְחָהאֵינָהּ שְׁלֵמָה,
כִּי מִתְבָּרֵר שֶׁהוּא רוּחַ רְפָאִים, לָכוּד בֵּין חַיִּים לְמָוֶת. כְּדֵי לְשַׁחְרֵר אוֹתוֹ, תוֹם וְאֵלֵנָה נִשְׁלָחִים לִמְשִׂימָה חֲדָשָׁה בָּאֲזוֹרִים הָאֲפֵלִים בְּיוֹתֵר שֶׁל אָוַנְטְיָה, שָׁם הֵם פּוֹגְשִׁים אֶת נִיקְסָה, חַיַּת הָרְפָאִים. אֲבָל מִיהִי נִיקְסָה? הַאִם הִיא אִשָּׁה יָפָה אוֹ מִפְלֶצֶת אֲיֻמָּה? הַאִם קוֹלָהּ הוּא עָנֹג אוֹ קַטְלָנִי? וּבְאֵילוּ עוֹד דְּרָכִים נִבְזִיּוֹת הִיא תִּבְחַר כְּדֵי לְתַעְתֵּעַ בִּשְׁנֵי הַחֲבֵרִים הָאַמִּיצִים? 
סִדְרַת הַשַּׁרְבִיט וְהַחֶרֶב הִיא הַצְלָחָה בֵּין־לְאֻמִּית. סִפְרֵי הַסִּדְרָה תֻּרְגְּמוּ לְ־24 שָׂפוֹת וְזָכוּ לְמִילְיוֹנֵי קוֹרְאִים. הַסְּפָרִים מַזְמִינִים אֶת הַקּוֹרְאִים הַצְּעִירִים לְבִקּוּר רִאשׁוֹן בְּמַמְלֶכֶת הַפַנְטַזְיָה. בֵּין דַּפֵּיהֶם יִפְגְּשׁוּ יְצוּרִים אַגָּדִיִּים, מְכַשְּׁפִים וְאַבִּירִים, וְיַכִּירוּ אֶת כּוֹחָם שֶׁל אֹמֶץ לֵב וְשֶׁל חֲבֵרוּת.
"
"
לא יהיה לנו לאן לחזור
",יובל שטייניץ,0.00 ₪,98.00 ₪,Not Available,0.00 ₪,49.00 ₪,Not Available,"
 תחום: 
 מדע בדיוני ופנטזיה 
","
 תת תחום: 
 מדע בדיוני ופנטזיה 
","
השנה היא 2037, ואותות מסתוריים מכוכב־לכת מרוחק נקלטים בכדור הארץ. האם הם נשלחו אלינו על־ידי חוצנים? והאם פניהם למלחמה או לשלום?
על משימת פענוח האותות מופקד פרופסור וגמן, חוקר מבריק
ופזור־דעת, העומד בראש מאיץ החלקיקים הענק בסרן, שווייץ.
ווגמן מפנטז שהמשימה החדשה שהוטלה עליו תעניק לו, סוף סוף, את פרס הנובל המיוחל. הוא מרכיב צוות של מדען גרמני פדנט, מתמטיקאי ישראלי ארך רגליים, פיזיקאית צרפתייה מבריקה ויפהפייה וביולוג הודי בעל נטייה פילוסופית, ויחד הם יוצאים למסע דרמטי בחלל בניסיון להציל את כדור הארץ.
האם תצליח החבורה להבין את המסרים מכוכב הלכת המסתורי ולשוב בזמן כדי להזהיר את תושבי כדור הארץ? והאם האנושות תבין סוף סוף את הפוטנציאל הנפיץ — של המאיץ? ומי מהחבורה, אם בכלל, יזכה לבסוף בפרס הנובל?
יובל שטייניץ הוא ד״ר לפילוסופיה, כיהן בעבר כשר האוצר וכשר האנרגיה. ספרו לא יהיה לנו לאן לחזור עוסק בנושאים מרתקים מעולמות הפיזיקה, האסטרונומיה והפילוסופיה, והוא נועד להזהיר את האנושות מפני סכנת ההכחדה העצמית. הספר כתוב כמותחן מדעי־בדיוני, מצחיק־מטריד, ומעורר למחשבה עמוקה. ספרו הראשון, הזמנה לפילוסופיה, יצא לא מכבר במהדורת 70 חגיגית בהוצאת כנרת־זמורה־דביר.
”מבריק, מפתיע ומלא תהפוכות. לכאורה על מדע בדיוני, ולמעשה
גם על הטלת הספק. מסאז’ מעולה למוח.”
עמית סגל
”מותחן מתוחכם ומעורר מחשבה – לעידן שבו המין האנושי נדרש להציל את עצמו מהסכנות שיצר בעצמו.”
ד”ר דב חנין
"
